id|uf_entrega|dia|custo_frete
65|SP|2017-05-04|7637.7119
66|RJ|2018-08-12|5735.5021
67|SP|2019-01-27|6040.2681
68|RJ|2018-10-27|4836.7249
69|BA|2017-10-24|864.6606
70|SP|2019-01-15|8335.5724
71|PE|2017-06-11|389661
72|RJ|2017-03-15|4991.9948
73|RJ|2017-09-19|5904.1556
74|MG|2017-09-24|3273.0336
75|SP|2017-03-08|6775.8254
76|RJ|2018-11-23|6117.9381
77|RJ|2018-11-02|5591.7074
78|SP|2018-07-12|8594.8998
79|BA|2018-12-03|2105.2668
80|RS|2019-01-24|1014444
81|RJ|2018-10-04|6060.7283
82|SP|2017-07-27|7652.5605
83|PR|2017-01-21|672.0363
84|MG|2017-12-11|3376.7417
85|CE|2018-12-11|1077.1347
86|RS|2019-02-05|1109.3733
87|SP|2018-01-09|7675.4331
88|MT|2017-07-22|251196
89|SP|2018-12-13|8394.1478
90|BA|2017-08-30|295.5065
91|MG|2017-03-25|2507.6331
92|RJ|2017-12-13|5896.8597
93|RJ|2017-05-21|6075.5422
94|PR|2018-07-27|1079.7374
95|MT|2018-05-28|575.8852
96|MG|2018-02-16|4128.5585
97|ES|2018-06-23|924.2711
98|SP|2017-10-27|8316.7762
99|MG|2017-05-01|2161.0132
100|RS|2018-01-01|852.6664
101|MG|2018-07-10|3756.1599
102|SP|2017-03-04|7260844
103|BA|2018-03-10|1325.1571
104|PE|2018-10-27|1010.94
105|PB|2018-05-16|297.2693
106|BA|2018-06-19|1500885
107|RJ|2018-05-05|4870.6832
108|RS|2017-08-10|1630.0351
109|RN|2019-03-05|506.7908
110|MG|2019-03-17|4717.8461
111|MG|2017-08-12|3232.7586
112|SP|2017-07-18|6551.6152
113|PE|2019-03-29|1250.7051
114|SP|2017-08-15|7524.7827
115|RS|2018-01-16|1586385
116|MG|2017-06-03|2836.7639
117|RJ|2018-03-04|5001.2284
118|SP|2018-10-29|6420.4286
119|RS|2017-03-03|1126.2864
120|RS|2017-03-10|1383.2105
121|SP|2017-04-02|8309.5443
122|SC|2017-07-02|1397.0531
123|MG|2018-08-19|4379.5748
124|SC|2018-06-22|1584.1021
125|MG|2017-10-10|2922.8537
126|RJ|2017-04-09|3986.0601
127|MG|2018-08-12|4657.3631
128|MG|2018-03-26|3144.9095
129|RS|2017-12-22|1158.7658
130|SC|2018-03-31|1281.3625
131|MG|2017-12-09|4161.2026
132|SP|2017-01-20|7674.6624
133|SP|2017-03-17|9281289
134|SP|2018-10-25|8156.9061
135|SP|2018-11-14|8310917
136|SP|2018-01-29|6150.4328
137|MG|2018-03-21|4773.4814
138|MS|2019-01-06|400.8811
139|RJ|2017-11-12|7393.6057
140|PB|2018-12-16|660.3821
141|MG|2017-04-28|2293.6377
142|CE|2019-01-25|961.0835
143|RJ|2018-01-29|4047.6109
144|BA|2018-04-06|1299.2915
145|RN|2019-02-28|349.9524
146|MG|2018-06-19|4254.8141
147|SP|2018-12-22|6532.6596
148|MG|2018-12-29|3196.9422
149|RJ|2019-02-13|4747.7369
150|MG|2019-01-22|4153.8372
151|GO|2018-11-26|286.8444
152|SP|2017-12-20|7688.6907
153|PR|2017-04-29|847.6019
154|RJ|2018-02-21|4447.4532
155|RJ|2019-04-10|2896.5016
156|RJ|2018-12-19|4958.1593
157|RN|2018-07-04|96.5625
158|RJ|2018-10-10|5067.1621
159|BA|2017-08-21|518.2732
160|MG|2018-12-01|5155.0545
161|BA|2018-05-29|1338.6876
162|PR|2017-08-28|718.3392
163|RJ|2017-11-25|6875.6713
164|SP|2018-06-01|6426.9665
165|SP|2017-01-22|7141.1192
166|RJ|2018-01-05|5042.7234
167|SC|2018-09-20|1392053
168|SE|2018-10-25|456.0015
169|SC|2018-10-24|1258.1884
170|SP|2018-08-13|6629.9446
171|ES|2017-05-25|520.5973
172|SP|2017-08-25|5613.7257
173|BA|2017-06-14|682484
174|PR|2017-05-17|988.2835
175|PR|2018-05-10|1301.8148
176|BA|2018-07-12|2286.5888
177|ES|2018-04-19|884.5237
178|SC|2018-01-19|1341.6008
179|CE|2018-07-19|846.1078
180|MT|2017-07-07|450401
181|PI|2019-04-09|55427
182|PE|2018-10-15|1567.6398
183|SP|2019-02-21|7230.6968
184|PB|2018-11-27|1037.7962
185|AL|2017-05-27|189.3017
186|AM|2017-10-30|97356
187|SC|2017-10-08|1303.9267
188|ES|2017-06-22|762.3966
189|PA|2018-07-21|392.5833
190|SC|2018-02-28|1486.0826
191|SP|2018-04-21|8801.3497
192|MS|2018-07-16|272.9832
193|RJ|2017-11-18|6239.6395
194|PR|2017-05-13|707647
195|ES|2019-02-08|677437
196|PR|2018-12-16|876664
197|BA|2018-09-01|3078.3497
198|RJ|2017-04-14|5539.8698
199|RJ|2017-10-29|5369.9323
200|PB|2019-02-20|885.6684
201|MG|2017-09-26|2108.0458
202|SP|2018-05-11|7958.5913
203|PE|2018-08-11|1086.6843
204|PE|2018-08-09|1058.3778
205|PA|2017-05-25|697.0209
206|RJ|2017-06-15|5707.6509
207|RJ|2017-02-21|4288.7848
208|PR|2018-09-23|1045.4686
209|PR|2018-11-21|2009.3542
210|SP|2017-09-24|6883857
211|SP|2017-06-12|7505.3632
212|SP|2018-09-09|7134.3698
213|RJ|2018-01-16|6527.0638
214|MG|2019-03-01|3994.8259
215|RJ|2017-12-03|9247.1605
216|SP|2017-12-10|9111.1728
217|RJ|2019-02-18|4094.1186
218|RS|2019-02-20|1466.1492
219|RJ|2018-07-02|5421.6248
220|RJ|2018-01-23|5412.2634
221|SP|2018-07-06|9274.6151
222|MS|2017-08-05|280.8872
223|SP|2018-02-09|8890.6111
224|RJ|2017-10-17|4946.6621
225|RJ|2017-02-19|4317.1581
226|RJ|2017-04-06|5360.6217
227|SP|2018-03-17|7864.8621
228|SP|2019-01-12|7863.2812
229|SP|2017-04-03|6143.4014
230|SC|2018-05-05|1411.6027
231|SP|2018-03-15|8780.9335
232|GO|2017-10-03|161.7546
233|RJ|2019-02-22|5754.8649
234|RJ|2017-05-11|4854629
235|SP|2017-11-15|8922.7109
236|MG|2017-04-21|1936.7674
237|MA|2017-04-14|149.2561
238|MG|2017-11-07|3715.9945
239|DF|2017-11-29|1256.2903
240|MT|2018-11-27|769.5109
241|ES|2018-11-17|1187.5743
242|SP|2017-09-26|6195.8133
243|RJ|2018-04-07|5342.2681
244|BA|2017-01-18|851.4829
245|RJ|2017-09-07|5276.7123
246|PR|2017-11-25|1054.4068
247|RS|2018-10-28|979.4826
248|RJ|2018-06-28|6711.0048
249|CE|2018-07-18|434.4755
250|SP|2017-06-20|6389.6273
251|SP|2019-02-19|5816.8275
252|SP|2018-08-17|8265.9913
253|SP|2018-03-14|8556731
254|PR|2017-08-04|686484
255|MG|2019-03-25|4202.0828
256|SP|2017-06-04|8291.4832
257|SP|2018-03-13|7404.9322
258|SP|2019-02-13|7082.6243
259|SP|2018-04-09|8386.4328
260|SP|2018-08-29|8623.0668
261|SC|2017-11-06|812.1618
262|SC|2018-11-07|1145.7114
263|SP|2017-02-18|9023.9304
264|RS|2018-05-22|2418.3505
265|BA|2018-08-17|2728.8955
266|SC|2019-03-12|1539.2924
267|SP|2017-06-30|9416.6443
268|MG|2017-08-21|2228.3757
269|MT|2017-01-19|583.9924
270|ES|2018-10-08|298.9284
271|RJ|2017-07-27|6419.1192
272|PR|2018-12-19|1215.3369
273|MG|2018-12-15|3352.5024
274|SP|2018-09-30|6473.5262
275|RJ|2019-02-03|4393.8419
276|RS|2017-01-29|962.7117
277|RJ|2018-02-18|4749607
278|MG|2017-07-04|3706.3611
279|RS|2018-03-03|1360.1565
280|SP|2017-03-13|5986.5657
281|RJ|2017-04-28|6005.8732
282|RS|2017-11-01|1926.8895
283|SP|2018-11-20|5605.8357
284|SP|2017-05-27|7720.5458
285|AL|2018-06-20|452664
286|SP|2018-10-12|7275.4709
287|MG|2018-07-17|4791.5064
288|ES|2017-11-26|1298006
289|MG|2018-04-26|4132.0548
290|SE|2019-03-16|505.3726
291|SP|2018-08-21|7633.6954
292|MG|2017-03-16|2449.9006
293|MT|2018-09-08|608.2043
294|RJ|2017-11-09|6825.4445
295|SP|2019-02-06|5519.9117
296|SP|2018-04-15|9344.3741
297|SP|2018-09-04|6961.2323
298|RJ|2017-03-31|6105043
299|DF|2018-09-15|245406
300|DF|2017-03-21|121.2879
301|BA|2018-06-09|1508.4955
302|DF|2017-07-18|340.4391
303|RJ|2018-01-09|5308.5162
304|DF|2019-01-28|163.8098
305|MG|2018-02-19|2617.9075
306|DF|2017-08-07|256.5009
307|SC|2017-09-06|1242007
308|RJ|2019-01-26|4863.5916
309|RJ|2017-03-22|4810.3743
310|RS|2018-11-27|1728.6787
311|SC|2018-06-17|1231.7107
312|PR|2018-05-03|1153.6071
313|PE|2017-10-10|180.8536
314|SP|2018-03-08|9262.4557
315|GO|2018-11-14|290.0898
316|ES|2017-02-27|228.8598
317|PE|2018-08-03|753.5971
318|PA|2017-06-12|130.9485
319|SP|2018-09-03|6441.1771
320|MG|2017-09-27|2875.5432
321|SP|2018-08-19|7349.9191
322|BA|2017-02-26|787.3636
323|RJ|2018-08-27|5715.9224
324|PE|2018-10-16|1687.6084
325|ES|2017-06-21|516.4346
326|SP|2019-02-03|5131.5178
327|MG|2018-07-06|4883.8864
328|SC|2018-11-26|1578.6266
329|SP|2017-03-06|4997.8159
330|PE|2019-02-09|804292
331|MG|2018-09-28|4351522
332|SP|2017-02-04|9253.5429
333|MG|2018-03-08|4678.0433
334|MG|2017-05-12|1774167
335|RJ|2018-03-15|6982.1333
336|DF|2018-11-09|216.1536
337|PI|2017-01-27|160.1809
338|RJ|2017-08-27|5025.6036
339|SP|2019-02-07|7827.5885
340|SC|2017-07-01|1233.74
341|RJ|2018-08-14|5844.9021
342|RS|2018-02-26|1341.4107
343|RJ|2018-10-30|5363.4567
344|RJ|2017-01-31|3793.9681
345|GO|2019-02-25|358.5789
346|MG|2018-02-25|4447.6287
347|RN|2018-05-20|278.3474
348|PR|2018-07-28|1244.9885
349|SC|2018-12-17|655.7939
350|ES|2017-11-01|849.0967
351|RS|2018-04-09|1082.1036
352|MG|2018-02-18|4105.4758
353|RJ|2018-07-16|5267.8626
354|RJ|2017-11-05|5940.3244
355|SP|2017-08-09|7010.5079
356|SP|2017-12-28|7182.9544
357|PA|2017-01-15|245.9098
358|RJ|2018-09-22|5722.1847
359|MG|2017-12-14|3710.8189
360|RJ|2018-01-15|6008.8033
361|ES|2018-11-04|1085.4194
362|MG|2018-04-06|4052.3129
363|MG|2017-10-02|2544.7921
364|SP|2018-11-19|5887802
365|PI|2019-03-22|1044.3164
366|BA|2017-11-27|1150.9172
367|RJ|2017-02-26|6189.3219
368|SP|2019-03-13|6589.0668
369|SC|2018-01-17|1501.3675
370|RS|2018-11-13|1283.0493
371|MG|2018-11-15|4337.7076
372|RJ|2017-01-15|3135.2192
373|RN|2019-02-27|329.8077
374|RJ|2018-12-30|2654.4997
375|SC|2018-10-12|1542.1462
376|RJ|2018-04-22|6985398
377|RJ|2017-03-09|3814.7728
378|MT|2017-01-30|431.5097
379|MG|2017-03-17|1736.0818
380|MG|2018-09-30|4379.1442
381|PR|2017-06-03|808.5709
382|PE|2017-11-28|466.0068
383|PR|2018-01-15|2164.2059
384|SC|2018-12-01|1573.9714
385|RJ|2018-02-08|6155.6352
386|MG|2018-10-07|4506.9232
387|SP|2017-02-08|10764089
388|RJ|2018-04-20|6664.2439
389|PR|2017-04-22|971.0982
390|SE|2018-05-12|534.1498
391|BA|2019-01-16|2682.6773
392|BA|2018-06-27|1731.5409
393|MG|2018-07-18|4200.3738
394|MT|2017-11-18|647.3302
395|MG|2019-02-01|4637.5808
396|BA|2017-06-05|538.4859
397|SC|2018-09-25|1100669
398|DF|2017-01-30|166407
399|RS|2018-02-13|1840.2761
400|SP|2018-07-03|7318.5213
401|SC|2019-02-15|1445.9121
402|PE|2017-11-08|859.1272
403|MT|2017-08-09|482.2107
404|RJ|2018-01-10|5125426
405|GO|2017-07-30|329.8859
406|SP|2017-11-09|9313.7901
407|SC|2018-06-26|1581.7701
408|SE|2018-01-09|153491
409|PE|2019-01-21|741.5028
410|MG|2018-11-08|4484.1764
411|SC|2017-08-11|1159573
412|MG|2018-09-05|4113.4538
413|BA|2017-02-04|549.3583
414|SC|2018-05-22|1700.2756
415|SP|2019-01-23|8086.0544
416|AC|2017-11-07|59.0181
417|RS|2018-10-30|978.3456
418|PE|2018-02-06|377.4691
419|AL|2017-05-15|130.8732
420|ES|2018-01-15|1437.6683
421|SC|2017-04-14|765.8564
422|PB|2019-01-31|578.0904
423|PE|2018-10-09|1229.3188
424|PE|2018-09-19|1638.2241
425|MG|2017-07-13|3151.2828
426|RS|2017-02-26|1217.4271
427|MT|2017-02-10|556.1597
428|PR|2019-01-13|920.3565
429|SC|2018-12-26|1056.9849
430|PR|2017-09-28|1325.6271
431|MG|2018-06-08|2709.7336
432|SP|2019-03-11|5499.7399
433|BA|2017-06-07|775.1108
434|PR|2018-05-12|1679.9037
435|RJ|2017-12-27|3730.2438
436|RN|2018-08-06|488454
437|ES|2019-03-13|291.7515
438|RJ|2019-03-23|5332.5776
439|BA|2017-08-12|998.5769
440|PR|2018-08-06|1091.9858
441|CE|2018-12-20|1055.6325
442|SP|2019-01-21|6839.3718
443|MT|2018-08-30|1346.4199
444|RJ|2018-05-15|5991.1372
445|CE|2019-02-12|1819.0103
446|SP|2018-05-27|7595.7115
447|ES|2017-06-23|625.1185
448|PR|2017-06-29|1989.7773
449|RJ|2019-01-28|3581529
450|PI|2017-01-15|142.2216
451|RJ|2018-09-24|4381.5569
452|BA|2018-10-24|1876.4819
453|PI|2017-06-02|261639
454|TO|2018-09-16|51.2289
455|ES|2018-02-21|702.7039
456|MG|2017-03-19|1674.2521
457|PR|2017-02-14|657.1039
458|MG|2018-07-05|3955.3795
459|TO|2018-12-08|158.0111
460|SC|2018-06-21|1724.9463
461|AL|2017-02-20|92.6524
462|PR|2017-08-10|960.6107
463|PR|2017-04-25|768.7877
464|SE|2017-11-02|336.7369
465|RS|2019-01-16|1187.7783
466|PE|2017-09-14|574.8085
467|RJ|2017-04-11|4686.0755
468|MS|2018-03-24|166.6843
469|RJ|2018-03-22|5258.6541
470|RJ|2018-10-09|4747.5065
471|PR|2017-10-04|1238.5682
472|MT|2017-01-15|182.5532
473|RN|2019-01-18|436829
474|MG|2017-04-26|2371.4651
475|MG|2018-09-18|2847.0836
476|MS|2017-07-21|224.5178
477|SC|2018-08-19|1403.3334
478|MG|2017-07-22|2494.9355
479|RN|2018-03-01|372.1485
480|AL|2018-10-31|324.7976
481|RS|2017-04-15|1092.0711
482|PR|2017-02-25|1389.6283
483|SC|2018-08-20|1452.4795
484|MG|2017-06-13|2986.7332
485|PR|2019-02-15|1108.5923
486|BA|2018-04-28|482.4282
487|PR|2018-01-30|1117.1462
488|RJ|2017-10-03|4904.2976
489|SC|2018-08-03|1727.9716
490|ES|2019-04-06|687.8047
491|MG|2018-03-18|3185.1813
492|PR|2017-07-20|1087.2539
493|PR|2018-02-01|1553.9367
494|PE|2017-07-16|602.6354
495|RS|2017-08-07|1287.2332
496|DF|2017-07-22|595.2068
497|MG|2018-11-25|6014.7929
498|SC|2018-12-02|2041.0872
499|RJ|2019-03-12|3685.2688
500|PB|2018-09-08|1189.7123
501|MS|2017-12-24|99.4644
502|MG|2017-12-13|3624.1651
503|GO|2018-10-06|65.7669
504|PR|2018-09-15|1032.6385
505|ES|2018-01-16|713.9304
506|RS|2018-12-12|1294.4636
507|RS|2019-03-05|1168.5429
508|AC|2018-08-08|37.8328
509|RS|2018-03-01|1908.0945
510|SC|2018-12-25|895.5138
511|PB|2019-02-17|752.1642
512|CE|2018-07-10|1030.7448
513|RS|2017-03-08|961.2927
514|PE|2018-10-11|1404.9318
515|ES|2017-11-22|604.8702
516|PR|2017-01-18|612.9625
517|PR|2019-01-06|1011.4235
518|BA|2018-02-19|313.7068
519|CE|2019-02-19|1182.8912
520|PR|2018-09-25|935.6565
521|MG|2019-02-27|5377.8327
522|CE|2018-09-12|986.2115
523|GO|2017-11-21|130.6292
524|PR|2018-12-23|621.0314
525|PR|2017-08-19|1152.4225
526|AC|2018-03-06|204232
527|AC|2018-03-04|11031
528|RJ|2018-06-18|6833433
529|RS|2019-02-22|1713.8263
530|AM|2018-05-28|46.1847
531|SC|2017-10-14|985.4267
532|PE|2019-03-05|805.9617
533|RS|2019-03-19|1281.8134
534|ES|2017-12-21|644.6451
535|RS|2018-10-21|1080.6123
536|CE|2019-02-24|1302.9573
537|AL|2017-05-31|99.9799
538|MA|2019-03-29|560.0952
539|DF|2018-03-03|421.2786
540|RS|2017-07-01|1610.5805
541|RS|2018-09-26|1292.8743
542|SC|2018-11-01|1290.7342
543|PA|2017-03-01|149.6313
544|RS|2019-04-03|1505.8132
545|RS|2017-09-07|1476.0946
546|SC|2018-09-04|1181.4269
547|MA|2018-11-24|735.3026
548|BA|2017-03-03|919.5121
549|MG|2018-08-24|4495.8636
550|RJ|2017-05-08|3517.0015
551|MT|2017-08-29|646.8866
552|PR|2017-01-16|550.28
553|RS|2018-01-31|1782.0404
554|MS|2017-04-15|465.8754
555|RO|2018-04-30|29.5261
556|BA|2018-03-13|1036.6555
557|PE|2017-09-07|386.5564
558|BA|2018-08-16|1815.1899
559|PR|2017-02-05|997.4048
560|ES|2017-04-21|278.7233
561|PA|2018-05-30|236.8856
562|SE|2019-02-11|135.9424
563|MT|2018-09-22|322.4223
564|PB|2019-03-09|417.0124
565|PE|2017-04-10|503201
566|RN|2018-06-13|581.3655
567|CE|2019-01-15|1009.4807
568|PR|2017-03-27|712.4515
569|AC|2018-06-26|76.1032
570|PR|2018-04-24|1052.4918
571|MT|2018-04-11|754814
572|MT|2018-02-22|739.9243
573|MS|2018-04-17|189.1198
574|PB|2017-08-12|137.6233
575|MT|2017-11-27|345.2989
576|RN|2018-07-22|409.6201
577|MS|2017-02-21|96.2665
578|BA|2018-05-11|1260185
579|RS|2019-03-30|1441008
580|BA|2018-05-25|954779
581|PI|2018-12-24|88.1023
582|PI|2017-03-26|161582
583|PI|2018-11-12|337.7207
584|RJ|2018-12-11|4514.5272
585|BA|2019-03-01|2252.4536
586|RO|2017-11-18|145.5627
587|AL|2018-08-16|432.4806
588|PR|2019-02-07|1348.7939
589|RS|2017-05-11|948.3452
590|MA|2018-12-19|279.9776
591|BA|2018-11-22|2127.5188
592|RS|2017-09-23|1722258
593|RS|2018-03-29|1897.5695
594|BA|2017-11-04|1007.9276
595|SC|2017-10-16|904.2435
596|MT|2019-01-24|1012.9018
597|SC|2018-11-14|1849.5683
598|RS|2017-06-06|1236.0423
599|DF|2018-12-14|548.0547
600|DF|2017-01-29|159.3203
601|SC|2017-10-25|1429.3476
602|RS|2018-11-26|1819.0166
603|AL|2018-05-18|278.7574
604|GO|2017-07-31|212796
605|RJ|2017-05-10|3534629
606|PR|2018-07-22|1384.3746
607|GO|2018-06-27|311.4574
608|RJ|2019-02-06|3889.6571
609|AM|2017-09-30|246.6858
610|SP|2018-02-11|8547.0845
611|AL|2018-06-24|97.7357
612|BA|2019-01-12|2617554
613|SC|2018-05-12|2093.6814
614|SC|2018-01-28|2379.2165
615|RJ|2018-06-03|3257077
616|PA|2018-04-08|90.6194
617|RJ|2017-10-19|7609.1806
618|PR|2018-04-08|1175.7703
619|RJ|2018-01-14|6024.5426
620|PA|2018-11-19|354.8604
621|PR|2018-08-25|1202.2544
622|RJ|2018-03-12|5020.9641
623|BA|2017-06-26|1035.6179
624|PR|2017-08-24|881.7347
625|SP|2018-05-30|5967.8312
626|RJ|2017-07-25|4296.7555
627|PR|2017-07-27|1399.8361
628|DF|2017-02-23|211.4999
629|RJ|2018-01-27|5214.0032
630|SP|2018-12-09|6080042
631|GO|2018-03-19|103.8412
632|RS|2017-05-13|1185.4917
633|RS|2017-05-14|1149.3839
634|PE|2017-09-16|495.5408
635|RJ|2018-12-12|6548.8995
636|MG|2017-04-11|1809.0113
637|PE|2019-01-20|793.6765
638|SC|2017-04-21|937.7156
639|CE|2019-02-04|1579.8268
640|ES|2018-04-25|643.1662
641|PE|2017-03-26|653.0129
642|GO|2018-12-08|280.0625
643|BA|2017-07-07|909.9337
644|MG|2017-02-09|1727.9408
645|SC|2017-05-01|435.4659
646|SC|2018-07-28|981.3108
647|RS|2018-04-01|1089.3802
648|AL|2018-10-05|255.2625
649|AL|2018-10-13|282.4628
650|PA|2019-03-30|642.4248
651|RS|2018-08-07|1288.6491
652|RS|2017-05-31|1193.0147
653|MG|2017-11-15|4347.3881
654|ES|2017-05-27|623.4083
655|PB|2017-10-09|195.6622
656|SC|2017-05-03|713264
657|AM|2017-08-13|4.4706
658|SC|2019-03-19|1112.2564
659|DF|2018-11-13|529.9835
660|MG|2018-10-21|3245.4987
661|SE|2018-07-19|338.0667
662|SC|2018-04-22|1163143
663|MG|2018-05-19|4566.0749
664|MG|2018-07-31|3141.5595
665|RJ|2017-04-23|3728.1012
666|RS|2017-07-12|1006.9348
667|RJ|2017-11-04|7354.1629
668|PE|2018-07-07|1673.0747
669|RS|2017-12-06|2018.3445
670|AL|2019-01-14|471.3892
671|BA|2018-08-30|1653.2527
672|BA|2017-02-07|440.5547
673|SC|2019-03-06|1159.5617
674|MG|2018-03-10|3490.1228
675|PB|2017-09-19|110019
676|MG|2017-05-23|2094.2245
677|RJ|2018-03-09|4959.8508
678|PR|2017-12-23|1377.5033
679|RO|2019-01-23|42.3878
680|RS|2018-07-16|1256.0523
681|MA|2018-07-23|259.3442
682|BA|2017-03-01|532171
683|SC|2017-05-08|673942
684|SC|2019-01-21|918.6091
685|RS|2018-11-30|2229.7981
686|GO|2018-08-12|300.2037
687|PR|2018-03-06|1271.8816
688|BA|2018-04-22|2310.4503
689|SC|2017-04-16|531.8627
690|GO|2017-03-14|155.8057
691|ES|2019-03-02|1039.7965
692|RS|2017-02-23|1425.8923
693|GO|2018-06-18|173.2055
694|DF|2018-07-13|613.5398
695|SC|2017-12-12|1209.6331
696|MG|2018-01-15|4453.9067
697|PA|2017-08-21|197.2218
698|BA|2017-08-14|662.8607
699|MS|2018-06-22|441.7422
700|PE|2017-10-11|440.9893
701|PR|2017-11-09|1773.7341
702|PB|2018-07-23|306.4042
703|SP|2017-05-17|7277.9266
704|ES|2019-03-09|477.7775
705|BA|2018-01-03|985.3184
706|MG|2018-04-24|2726.3791
707|AM|2018-10-07|79.8057
708|PR|2017-10-26|1236.9277
709|ES|2018-10-13|724.9781
710|PE|2017-07-21|658.3058
711|ES|2019-03-15|801809
712|PR|2019-03-20|1185.7774
713|MG|2018-01-20|4596.0423
714|SC|2018-05-23|1025512
715|AL|2017-07-26|174.9939
716|MS|2018-03-20|426.2003
717|ES|2018-09-22|685838
718|BA|2017-09-02|840.5203
719|SE|2017-02-10|269.7833
720|BA|2017-09-08|729.1236
721|RS|2019-04-05|1505.2589
722|MG|2018-05-05|2876.3742
723|DF|2017-05-08|306.2269
724|PR|2018-08-26|1199.8752
725|MT|2017-05-03|314658
726|RS|2018-05-14|1477.0728
727|RS|2018-12-23|1194.2116
728|PE|2017-01-11|171.0478
729|PE|2017-04-12|312.2192
730|BA|2018-07-26|1463375
731|RS|2017-07-26|1349.7481
732|ES|2018-04-03|253.9508
733|PR|2018-08-04|1221466
734|RS|2018-05-29|1064.1552
735|SC|2017-12-24|1121.7018
736|MT|2018-12-10|463.2491
737|MG|2017-09-14|3059.7892
738|DF|2017-01-26|187.6209
739|BA|2018-05-23|1246.0331
740|MG|2017-06-04|2625.9794
741|RS|2019-01-17|2081.9506
742|RS|2017-06-27|1206.5081
743|MG|2017-08-28|2045.1338
744|CE|2018-04-19|746.2971
745|SC|2017-02-14|555325
746|PA|2017-09-23|247.6044
747|MS|2018-09-29|225.5983
748|ES|2017-12-16|967.5568
749|GO|2017-01-27|562.79
750|MG|2017-08-30|2830.8652
751|RS|2017-07-04|1299.2005
752|ES|2017-04-12|472.5729
753|RS|2017-12-20|1122.8656
754|AL|2018-10-02|557.0731
755|SC|2017-11-10|1696.1644
756|RS|2019-02-16|1417.5773
757|SE|2018-07-20|329.1714
758|PB|2017-05-26|116.2098
759|CE|2018-11-28|2246.3901
760|AL|2017-10-31|233.9437
761|SC|2018-03-05|1453214
762|BA|2017-11-06|1192.1938
763|DF|2019-01-13|463.7723
764|AM|2018-03-25|42797
765|BA|2018-01-04|637.4513
766|AL|2018-09-08|210.8397
767|ES|2017-10-01|454.7165
768|BA|2017-01-15|629.3261
769|BA|2017-06-11|699.5391
770|SC|2017-03-29|650.3165
771|RN|2017-04-24|166.9936
772|BA|2018-11-21|864.2669
773|PE|2017-08-02|257.9107
774|AL|2019-03-21|208.7082
775|SC|2017-12-18|1374.2847
776|PI|2018-09-20|171.8843
777|RJ|2017-04-19|4870.6666
778|GO|2018-07-27|413.9759
779|AM|2018-11-05|28.6887
780|RS|2018-07-22|1504.7971
781|MT|2018-08-01|719.2226
782|ES|2018-05-13|822.6173
783|GO|2017-08-25|376.3517
784|SC|2019-01-22|1293.7076
785|DF|2017-08-02|335.7564
786|AL|2018-10-01|611.9653
787|DF|2018-04-04|520746
788|PR|2018-02-20|1628.3484
789|MS|2017-12-16|315.2297
790|ES|2019-03-30|960.0302
791|PE|2017-03-08|544.7057
792|ES|2018-09-16|485.1091
793|DF|2018-05-16|462.6479
794|SE|2019-01-19|226.1293
